team,avg_lap_time,latitude,longitude,circuitType,precipitation,windspeed,temp,race_condition
Williams,75.12877777777777,47.2197,14.7647,Race circuit,0.217,4.5,68.9,Wet
Toro Rosso,76.61071428571428,47.2197,14.7647,Race circuit,0.217,4.5,68.9,Wet
Manor Marussia,75.64644444444446,47.2197,14.7647,Race circuit,0.217,4.5,68.9,Wet
Haas F1 Team,75.447,47.2197,14.7647,Race circuit,0.217,4.5,68.9,Wet
Renault,75.672,47.2197,14.7647,Race circuit,0.217,4.5,68.9,Wet
Sauber,76.24987499999999,47.2197,14.7647,Race circuit,0.217,4.5,68.9,Wet
Mercedes,172.60229999999999,52.0786,-1.01694,Race circuit,0.138,13.2,64.4,Wet
Red Bull,172.9557,52.0786,-1.01694,Race circuit,0.138,13.2,64.4,Wet
Ferrari,172.95690000000002,52.0786,-1.01694,Race circuit,0.138,13.2,64.4,Wet
Williams,175.00199999999995,52.0786,-1.01694,Race circuit,0.138,13.2,64.4,Wet
Toro Rosso,175.4153333333333,52.0786,-1.01694,Race circuit,0.138,13.2,64.4,Wet
Force India,173.18649999999997,52.0786,-1.01694,Race circuit,0.138,13.2,64.4,Wet
McLaren,175.7598888888889,52.0786,-1.01694,Race circuit,0.138,13.2,64.4,Wet
Haas F1 Team,175.6657777777778,52.0786,-1.01694,Race circuit,0.138,13.2,64.4,Wet
Renault,179.19449999999998,52.0786,-1.01694,Race circuit,0.138,13.2,64.4,Wet
Manor Marussia,179.91637500000002,52.0786,-1.01694,Race circuit,0.138,13.2,64.4,Wet
Sauber,180.3665,52.0786,-1.01694,Race circuit,0.138,13.2,64.4,Wet
Mercedes,87.72290000000001,47.5789,19.2486,Race circuit,0.039,3.8,74.1,Wet
Red Bull,88.19590000000001,47.5789,19.2486,Race circuit,0.039,3.8,74.1,Wet
Ferrari,89.61359999999999,47.5789,19.2486,Race circuit,0.039,3.8,74.1,Wet
McLaren,89.93266666666666,47.5789,19.2486,Race circuit,0.039,3.8,74.1,Wet
Toro Rosso,91.17011111111111,47.5789,19.2486,Race circuit,0.039,3.8,74.1,Wet
Williams,91.31511111111111,47.5789,19.2486,Race circuit,0.039,3.8,74.1,Wet
Force India,90.89766666666665,47.5789,19.2486,Race circuit,0.039,3.8,74.1,Wet
Haas F1 Team,90.65050000000001,47.5789,19.2486,Race circuit,0.039,3.8,74.1,Wet
Sauber,92.74225000000001,47.5789,19.2486,Race circuit,0.039,3.8,74.1,Wet
Renault,92.47975,47.5789,19.2486,Race circuit,0.039,3.8,74.1,Wet
